01-Jan,Genesis 1&2,Psalm 1&2,Matthew 1&2
02-Jan,Genesis 3&4,Psalm 3&5,Matthew 3&4
03-Jan,Genesis 5&6,Psalm 6&8,Matthew 5
04-Jan,Genesis 7&8,Psalm 9&10,Matthew 6
05-Jan,Genesis 9&10,Psalm 11&13,Matthew 7
06-Jan,Genesis 11&12,Psalm 14&16,Matthew 8
07-Jan,Genesis 13&14,Psalm 17,Matthew 9
08-Jan,Genesis 15&16,Psalm 18,Matthew 10
09-Jan,Genesis 17&18,Psalm 19&21,Matthew 11
10-Jan,Genesis 19,Psalm 22,Matthew 12
11-Jan,Genesis 20&21,Psalm 23&25,Matthew 13
12-Jan,Genesis 22&23,Psalm 26&28,Matthew 14
13-Jan,Genesis 24,Psalm 29&30,Matthew 15
14-Jan,Genesis 25&26,Psalm 31,Matthew 16
15-Jan,Genesis 27,Psalm 32,Matthew 17
16-Jan,Genesis 28&29,Psalm 33,Matthew 18
17-Jan,Genesis 30,Psalm 34,Matthew 19
18-Jan,Genesis 31,Psalm 35,Matthew 20
19-Jan,Genesis 32&33,Psalm 36,Matthew 21
20-Jan,Genesis 34&35,Psalm 37,Matthew 22
21-Jan,Genesis 36,Psalm 38,Matthew 23
22-Jan,Genesis 37,Psalm 39&40,Matthew 24
23-Jan,Genesis 38,Psalm 41&43,Matthew 25
24-Jan,Genesis 39&40,Psalm 44,Matthew 26
25-Jan,Genesis 41,Psalm 45,Matthew 27
26-Jan,Genesis 42&43,Psalm 46&48,Matthew 28
27-Jan,Genesis 44&45,Psalm 49,Romans 1&2
28-Jan,Genesis 46&47,Psalm 50,Romans 3&4
29-Jan,Genesis 48&50,Psalm 51&52,Romans 5&6
30-Jan,Exodus 1&2,Psalm 53&55,Romans 7&8
31-Jan,Exodus 3&4,Psalm 56&57,Romans 9
01-Feb,Exodus 5&6,Psalm 58&59,Romans 10&11
02-Feb,Exodus 7&8,Psalm 60&61,Romans 12
03-Feb,Exodus 9,Psalm 62&63,Romans 13&14
04-Feb,Exodus 10,Psalm 64&65,Romans 15&16
05-Feb,Exodus 11&12,Psalm 66&67,Mark 1
06-Feb,Exodus 13&14,Psalm 68,Mark 2
07-Feb,Exodus 15,Psalm 69,Mark 3
08-Feb,Exodus 16,Psalm 70&71,Mark 4
09-Feb,Exodus 17&18,Psalm 72,Mark 5
10-Feb,Exodus 19&20,Psalm 73,Mark 6
11-Feb,Exodus 21,Psalm 74,Mark 7
12-Feb,Exodus 22,Psalm 75&76,Mark 8
13-Feb,Exodus 23,Psalm 77,Mark 9
14-Feb,Exodus 24&25,Psalm 78,Mark 10
15-Feb,Exodus 26,Psalm 79&80,Mark 11
16-Feb,Exodus 27,Psalm 81&82,Mark 12
17-Feb,Exodus 28,Psalm 83&84,Mark 13
18-Feb,Exodus 29,Psalm 85&86,Mark 14
19-Feb,Exodus 30,Psalm 87&88,Mark 15&16
20-Feb,Exodus 31&32,Psalm 89,1 Corinth. 1&2
21-Feb,Exodus 33&34,Psalm 90&91,1 Corinth. 3
22-Feb,Exodus 35,Psalm 92&93,1 Corinth. 4&5
23-Feb,Exodus 36,Psalm 94&95,1 Corinth. 6
24-Feb,Exodus 37,Psalm 96&99,1 Corinth. 7
25-Feb,Exodus 38,Psalm 100&101,1 Corinth. 8&9
26-Feb,Exodus 39&40,Psalm 102,1 Corinth. 10
27-Feb,Leviticus 1&2,Psalm 103,1 Corinth. 11
28-Feb,Leviticus 3&4,Psalm 104,1 Corinth. 12&13
29-Feb,No Readings Today,No readings Today,No readings Today
01-Mar,Leviticus 5&6,Psalm 105,1 Corinth. 14
02-Mar,Leviticus 7,Psalm 106,1 Corinth. 15
03-Mar,Leviticus 8,Psalm 107,1 Corinth. 16
04-Mar,Leviticus 9&10,Psalm 108&109,2 Corinth. 1&2
05-Mar,Leviticus 11,Psalm 110&112,2 Corinth. 3&4
06-Mar,Leviticus 12&13,Psalm 113&114,2 Corinth. 5 to 7
07-Mar,Leviticus 14,Psalm 115&116,2 Corinth. 8&9
08-Mar,Leviticus 15,Psalm 117&118,2 Corinth. 10&11
09-Mar,Leviticus 16,Psalm 119:1 to 40,2 Corinth. 12&13
10-Mar,Leviticus 17&18,Psalm 119:41 to 80,Luke 1
11-Mar,Leviticus 19,Psalm 119:81 to 128,Luke 2
12-Mar,Leviticus 20,Psalm 119:129 to 176,Luke 3
13-Mar,Leviticus 21,Psalm 120&124,Luke 4
14-Mar,Leviticus 22,Psalm 125&127,Luke 5
15-Mar,Leviticus 23,Psalm 128&130,Luke 6
16-Mar,Leviticus 24,Psalm 131&134,Luke 7
17-Mar,Leviticus 25,Psalm 135&136,Luke 8
18-Mar,Leviticus 26,Psalm 137&139,Luke 9
19-Mar,Leviticus 27,Psalm 140&142,Luke 10
20-Mar,Numbers 1,Psalm 143&144,Luke 11
21-Mar,Numbers 2,Psalm 145&147,Luke 12
22-Mar,Numbers 3,Psalm 148&150,Luke 13&14
23-Mar,Numbers 4,Proverbs 1,Luke 15
24-Mar,Numbers 5,Proverbs 2,Luke 16
25-Mar,Numbers 6,Proverbs 3,Luke 17
26-Mar,Numbers 7,Proverbs 4,Luke 18
27-Mar,Numbers 8&9,Proverbs 5,Luke 19
28-Mar,Numbers 10,Proverbs 6,Luke 20
29-Mar,Numbers 11,Proverbs 7,Luke 21
30-Mar,Numbers 12&13,Proverbs 8&9,Luke 22
31-Mar,Numbers 14,Proverbs 10,Luke 23
01-Apr,Numbers 15,Proverbs 11,Luke 24
02-Apr,Numbers 16,Proverbs 12,Galatians 1&2
03-Apr,Numbers 17&18,Proverbs 13,Galatians 3&4
04-Apr,Numbers 19,Proverbs 14,Galatians 5&6
05-Apr,Numbers 20&21,Proverbs 15,Ephesians 1&2
06-Apr,Numbers 22&23,Proverbs 16,Ephesians 3&4
07-Apr,Numbers 24&25,Proverbs 17,Ephesians 5&6
08-Apr,Numbers 26,Proverbs 18,Philippians 1&2
09-Apr,Numbers 27,Proverbs 19,Philippians 3&4
10-Apr,Numbers 28,Proverbs 20,John 1
11-Apr,Numbers 29&30,Proverbs 21,John 2&3
12-Apr,Numbers 31,Proverbs 22,John 4
13-Apr,Numbers 32,Proverbs 23,John 5
14-Apr,Numbers 33,Proverbs 24,John 6
15-Apr,Numbers 34,Proverbs 25,John 7
16-Apr,Numbers 35,Proverbs 26,John 8
17-Apr,Numbers 36,Proverbs 27,John 9&10
18-Apr,Deut. 1,Proverbs 28,John 11
19-Apr,Deut. 2,Proverbs 29,John 12
20-Apr,Deut. 3,Proverbs 30,John 13&14
21-Apr,Deut. 4,Proverbs 31,John 15&16
22-Apr,Deut. 5,Eccles. 1,John 17&18
23-Apr,Deut. 6&7,Eccles. 2,John 19
24-Apr,Deut. 8&9,Eccles. 3,John 20&21
25-Apr,Deut. 10&11,Eccles. 4,Acts 1
26-Apr,Deut. 12,Eccles. 5,Acts 2
27-Apr,Deut. 13&14,Eccles. 6,Acts 3&4
28-Apr,Deut. 15,Eccles. 7,Acts 5&6
29-Apr,Deut. 16,Eccles. 8,Acts 7
30-Apr,Deut. 17,Eccles. 9,Acts 8
01-May,Deut. 18,Eccles. 10,Acts 9
02-May,Deut. 19,Eccles. 11,Acts 10
03-May,Deut. 20,Eccles. 12,Acts 11&12
04-May,Deut. 21,Song 1,Acts 13
05-May,Deut. 22,Song 2,Acts 14&15
06-May,Deut. 23,Song 3,Acts 16&17
07-May,Deut. 24,Song 4,Acts 18&19
08-May,Deut. 25,Song 5,Acts 20
09-May,Deut. 26,Song 6,Acts 21&22
10-May,Deut. 27,Song 7,Acts 23&24
11-May,Deut. 28,Song 8,Acts 25&26
12-May,Deut. 29,Isaiah 1,Acts 27
13-May,Deut. 30,Isaiah 2,Acts 28
14-May,Deut. 31,Isaiah 3&4,Collos. 1
15-May,Deut. 32,Isaiah 5,Collos. 2
16-May,Deut. 33&34,Isaiah 6,Collos. 3&4
17-May,Joshua 1,Isaiah 7,1 Thess. 1&2
18-May,Joshua 2,Isaiah 8,1 Thess. 3&4
19-May,Joshua 3&4,Isaiah 9,1 Thess. 5
20-May,Joshua 5&6,Isaiah 10,2 Thess. 1&2
21-May,Joshua 7,Isaiah 11,2 Thess. 3
22-May,Joshua 8,Isaiah 12,1 Tim. 1 to 3
23-May,Joshua 9,Isaiah 13,1 Tim. 4&5
24-May,Joshua 10,Isaiah 14,1 Tim. 6
25-May,Joshua 11,Isaiah 15,2 Tim. 1
26-May,Joshua 12,Isaiah 16,2 Tim. 2
27-May,Joshua 13,Isaiah 17&18,2 Tim. 3&4
28-May,Joshua 14,Isaiah 19,Titus 1-3
29-May,Joshua 15,Isaiah 20&21,Philemon
30-May,Joshua 16,Isaiah 22,Hebrews 1&2
31-May,Joshua 17,Isaiah 23,Hebrews 3-5
01-Jun,Joshua 18,Isaiah 24,Hebrews 6&7
02-Jun,Joshua 19,Isaiah 25,Hebrews 8&9
03-Jun,Joshua 20&21,Isaiah 26&27,Hebrews 10
04-Jun,Joshua 22,Isaiah 28,Hebrews 11
05-Jun,Joshua 23&24,Isaiah 29,Hebrews 12
06-Jun,Judges 1,Isaiah 30,Hebrews 13
07-Jun,Judges 2&3,Isaiah 31,James 1
08-Jun,Judges 4&5,Isaiah 32,James 2
09-Jun,Judges 6,Isaiah 33,James 3&4
10-Jun,Judges 7&8,Isaiah 34,James 5
11-Jun,Judges 9,Isaiah 35,1 Peter 1
12-Jun,Judges 10&11,Isaiah 36,1 Peter 2
13-Jun,Judges 12&13,Isaiah 37,1 Peter 3&4&5
14-Jun,Judges 14&15,Isaiah 38,2 Peter 1&2
15-Jun,Judges 16,Isaiah 39,2 Peter 3
16-Jun,Judges 17&18,Isaiah 40,1 John 1&2
17-Jun,Judges 19,Isaiah 41,1 John 3&4
18-Jun,Judges  20,Isaiah 42,1 John 5
19-Jun,Judges  21,Isaiah 43,2&3 John
20-Jun,Ruth 1&2,Isaiah 44,Jude
21-Jun,Ruth 3&4,Isaiah 45,Revelation 1&2
22-Jun,1 Sam. 1,Isaiah  46&47,Revelation 3&4
23-Jun,1 Sam. 2,Isaiah  48,Revelation 5&6
24-Jun,1 Sam. 3,Isaiah  49,Revelation 7&8&9
25-Jun,1 Sam. 4,Isaiah  50,Revelation 10&11
26-Jun,1 Sam. 5&6,Isaiah  51,Revelation 12&13
27-Jun,1 Sam. 7&8,Isaiah  52,Revelation 14
28-Jun,1 Sam. 9,Isaiah  53,Revelation 15&16
29-Jun,1 Sam. 10,Isaiah  54,Revelation 17&18
30-Jun,1 Sam. 11&12,Isaiah  55,Revelation 19&20
01-Jul,1 Sam. 13,Isaiah 56&57,Revelation 21&22
02-Jul,1 Sam. 14,Isaiah 58,Matthew 1&2
03-Jul,1 Sam. 15,Isaiah 59,Matthew 3&4
04-Jul,1 Sam. 16,Isaiah 60,Matthew 5
05-Jul,1 Sam. 17,Isaiah 61,Matthew 6
06-Jul,1 Sam. 18,Isaiah 62,Matthew 7
07-Jul,1 Sam. 19,Isaiah 63,Matthew 8
08-Jul,1 Sam. 20,Isaiah 64,Matthew 9
09-Jul,1 Sam. 21&22,Isaiah 65,Matthew 10
10-Jul,1 Sam. 23,Isaiah 66,Matthew 11
11-Jul,1 Sam. 24,Jeremiah 1,Matthew 12
12-Jul,1 Sam. 25,Jeremiah 2,Matthew 13
13-Jul,1 Sam. 26&27,Jeremiah 3,Matthew 14
14-Jul,1 Sam. 28,Jeremiah 4,Matthew 15
15-Jul,1 Sam. 29&30,Jeremiah 5,Matthew 16
16-Jul,1 Sam. 31,Jeremiah 6,Matthew 17
17-Jul,2 Sam. 1,Jeremiah 7,Matthew 18
18-Jul,2 Sam. 2,Jeremiah 8,Matthew 19
19-Jul,2 Sam. 3,Jeremiah 9,Matthew 20
20-Jul,2 Sam. 4&5,Jeremiah 10,Matthew 21
21-Jul,2 Sam. 6,Jeremiah 11,Matthew 22
22-Jul,2 Sam. 7,Jeremiah 12,Matthew 23
23-Jul,2 Sam. 8&9,Jeremiah 13,Matthew 24
24-Jul,2 Sam. 10,Jeremiah 14,Matthew 25
25-Jul,2 Sam. 11,Jeremiah 15,Matthew 26
26-Jul,2 Sam. 12,Jeremiah 16,Matthew 27
27-Jul,2 Sam. 13,Jeremiah 17,Matthew 27
28-Jul,2 Sam. 14,Jeremiah 18,Romans 1&2
29-Jul,2 Sam. 15,Jeremiah 19,Romans 3&4
30-Jul,2 Sam. 16,Jeremiah 20,Romans 5&6
31-Jul,2 Sam. 17,Jeremiah 21,Romans 7&8
01-Aug,2 Sam. 18,Jeremiah 22,Romans 9
02-Aug,2 Sam. 19,Jeremiah 23,Romans 10&11
03-Aug,2 Sam. 20&21,Jeremiah 24,Romans 12
04-Aug,2 Sam. 22,Jeremiah 25,Romans 13&14
05-Aug,2 Sam. 23,Jeremiah 26,Romans 15&16
06-Aug,2 Sam. 24,Jeremiah 27,Mark 1
07-Aug,1 Kings 1,Jeremiah 28,Mark 2
08-Aug,1 Kings 2,Jeremiah 29,Mark 3
09-Aug,1 Kings 3,Jeremiah 30,Mark 4
10-Aug,1 Kings 4&5,Jeremiah 31,Mark 5
11-Aug,1 Kings 6,Jeremiah 32,Mark 6
12-Aug,1 Kings 7,Jeremiah 33,Mark 7
13-Aug,1 Kings 8&27,Jeremiah 34,Mark 8
14-Aug,1 Kings 9,Jeremiah 35,Mark 9
15-Aug,1 Kings 10,Jeremiah 36,Mark 10
16-Aug,1 Kings 11,Jeremiah 37,Mark 11
17-Aug,1 Kings 12,Jeremiah 38,Mark 12
18-Aug,1 Kings 13,Jeremiah 39,Mark 13
19-Aug,1 Kings 14,Jeremiah 40,Mark 14
20-Aug,1 Kings 15,Jeremiah 41,Mark 15
21-Aug,1 Kings 16,Jeremiah 42,Mark 16
22-Aug,1 Kings 17,Jeremiah 43,1 Corin. 1&2
23-Aug,1 Kings 18,Jeremiah 44,1 Corin. 3
24-Aug,1 Kings 19,Jeremiah 45&46,1 Corin. 4&5
25-Aug,1 Kings 20,Jeremiah 47,1 Corin. 6
26-Aug,1 Kings 21,Jeremiah 48,1 Corin. 7
27-Aug,1 Kings 22,Jeremiah 49,1 Corin. 8&9
28-Aug,2 Kings 1&2,Jeremiah 50,1 Corin. 10
29-Aug,2 Kings 3,Jeremiah 51,1 Corin. 11
30-Aug,2 Kings 4,Jeremiah 52,1 Corin. 12&13
31-Aug,2 Kings 5,Lament. 1,1 Corin. 14
01-Sep,2 Kings 6,Lament. 2,1 Corin. 6&7
02-Sep,2 Kings 7,Lament. 3,1 Corin. 8&9
03-Sep,2 Kings 8,Lament. 4&27,2 Corin. 1&2
04-Sep,2 Kings 9,Lament. 5,2 Corin. 3&4
05-Sep,2 Kings 10,Ezekiel 1,2 Corin. 5 to 7
06-Sep,2 Kings 11&12,Ezekiel 2,2 Corin. 8&9
07-Sep,2 Kings 13,Ezekiel 3,2 Corin. 10&11
08-Sep,2 Kings 14,Ezekiel 4,2 Corin. 12&13
09-Sep,2 Kings 15,Ezekiel 5,Luke 1
10-Sep,2 Kings 16,Ezekiel 6,Luke 2
11-Sep,2 Kings 17,Ezekiel 7,Luke 3
12-Sep,2 Kings 18,Ezekiel 8,Luke 4
13-Sep,2 Kings 19,Ezekiel 9,Luke 5
14-Sep,2 Kings 20,Ezekiel 10,Luke 6
15-Sep,2 Kings 21,Ezekiel 11,Luke 7
16-Sep,2 Kings 22&23,Ezekiel 12,Luke 8
17-Sep,2 Kings 24&25,Ezekiel 13,Luke 9
18-Sep,1 Chron. 1,Ezekiel 14,Luke 10
19-Sep,1 Chron. 2,Ezekiel 15,Luke 11
20-Sep,1 Chron. 3,Ezekiel 16,Luke 12
21-Sep,1 Chron. 4,Ezekiel 17,Luke 13&14
22-Sep,1 1 Chron. 5,Ezekiel 18,Luke 15
23-Sep,1 1 Chron. 6,Ezekiel 19,Luke 16
24-Sep,1 Chron. 7,Ezekiel 20,Luke 17
25-Sep,1 Chron. 8,Ezekiel 21,Luke 18
26-Sep,1 Chron. 9,Ezekiel 22,Luke 19
27-Sep,1 Chron. 10,Ezekiel 23,Luke 20
28-Sep,1 Chron. 11,Ezekiel 24,Luke 21
29-Sep,1 Chron. 12,Ezekiel 25,Luke 22
30-Sep,1 Chron. 13&14,Ezekiel 26,Luke 23
01-Oct,1 Chron. 15,Ezekiel 27,Luke 24
02-Oct,1 Chron. 16,Ezekiel 28,Galatians 1&2
03-Oct,1 Chron. 17,Ezekiel 29,Galatians 3&4
04-Oct,1 Chron. 18&19,Ezekiel 30,Galatians 5&6
05-Oct,1 Chron. 20&21,Ezekiel 31,Ephesians 1&2
06-Oct,1 Chron. 22,Ezekiel 32,Ephesians 3&4
07-Oct,1 Chron. 23,Ezekiel 33,Ephesians 5&6
08-Oct,1 Chron. 24&25,Ezekiel 34,Philippians 1&2
09-Oct,1 Chron. 26,Ezekiel 35,Philippians 3&4
10-Oct,1 Chron. 27,Ezekiel 36,John 1
11-Oct,1 Chron. 28,Ezekiel 37,John 2&3
12-Oct,1 Chron. 29,Ezekiel 38,John 4
13-Oct,2 Chron. 1&2,Ezekiel 39,John 5
14-Oct,2 Chron. 3&4,Ezekiel 40,John 6
15-Oct,2 Chron. 5&6,Ezekiel 41,John 7
16-Oct,2 Chron. 7,Ezekiel 42,John 8
17-Oct,2 Chron. 8,Ezekiel 43,John 9&10
18-Oct,2 Chron. 9,Ezekiel 44,John 11
19-Oct,2 Chron. 10&11,Ezekiel 45,John 12
20-Oct,2 Chron. 12&13,Ezekiel 46,John 13&14
21-Oct,2 Chron. 14&15,Ezekiel 47,John 15&16
22-Oct,2 Chron. 16&17,Ezekiel 48,John 17&18
23-Oct,2 Chron. 18&19,Daniel 1,John 19
24-Oct,2 Chron. 20,Daniel 2,John 20
25-Oct,2 Chron. 21&22,Daniel 3,Acts 1
26-Oct,2 Chron. 23,Daniel 4,Acts 2
27-Oct,2 Chron. 24,Daniel 5,Acts 3&4
28-Oct,2 Chron. 25,Daniel 6,Acts 5&6
29-Oct,2 Chron. 26&27,Daniel 7,Acts 7
30-Oct,2 Chron. 28,Daniel 8,Acts 8
31-Oct,2 Chron. 29,Daniel 9,Acts 9
01-Nov,2 Chron. 30,Daniel 10,Acts 10
02-Nov,2 Chron. 31,Daniel 11,Acts 11&12
03-Nov,2 Chron. 32,Daniel 12,Acts 13
04-Nov,2 Chron. 33&19,Hosea 1,Acts 14&15
05-Nov,2 Chron. 34&21,Hosea 2,Acts 16&17
06-Nov,2 Chron. 35,Hosea 3,Acts 18&19
07-Nov,2 Chron. 36,Hosea 4,Acts 20
08-Nov,Ezra 1&2,Hosea 5,Acts 21&22
09-Nov,Ezra 3&4,Hosea 6,Acts 23&24
10-Nov,Ezra 5&6,Hosea 7,Acts 25&26
11-Nov,Ezra 7,Hosea 8,Acts 27
12-Nov,Ezra 8,Hosea 9,Acts 28
13-Nov,Ezra 9,Hosea 10,Colossians 1
14-Nov,Ezra 10,Hosea 11,Colossians 2
15-Nov,Nehemiah 1&2,Hosea 12,Colossians 3&4
16-Nov,Nehemiah 3,Hosea 13,1 Thess 1&2
17-Nov,Nehemiah 4,Hosea 14,1 Thess 3&4
18-Nov,Nehemiah 5&6,Joel 1,1 Thess 5
19-Nov,Nehemiah 7,Joel 2,2 Thess 1&2
20-Nov,Nehemiah 8,Joel 3,2 Thess 3
21-Nov,Nehemiah 9,Amos 1,1 Tim. 1&3
22-Nov,Nehemiah 10,Amos 2,1 Tim. 4&5
23-Nov,Nehemiah 11,Amos 3,1 Tim. 6
24-Nov,Nehemiah 12,Amos 4,2 Tim. 1
25-Nov,Nehemiah 13,Amos 5,2 Tim. 2
26-Nov,Esther 1,Amos 6,2 Tim. 3&4
27-Nov,Esther 2,Amos 7,Titus
28-Nov,Esther 3&4,Amos 8,Philemon
29-Nov,Esther 5&6,Amos 9,Hebrews 1&2
30-Nov,Esther 7&8,Obadiah,Hebrews 3&5
01-Dec,Esther 9&10,Jonah 1,Hebrews 6&7
02-Dec,Job 1&2,Jonah 2&3,Hebrews 8&9
03-Dec,Job 3&4,Jonah 4,Hebrews 10
04-Dec,Job 5,Micah 1,Hebrews 11
05-Dec,Job 6&7,Micah 2,Hebrews 12
06-Dec,Job 8,Micah 3&4,Hebrews 13
07-Dec,Job 9,Micah 5,James 1
08-Dec,Job 10,Micah 6,James 2
09-Dec,Job 11,Micah 7,James 3&4
10-Dec,Job 12,Nahum 1&2,James 5
11-Dec,Job 13,Nahum 3,1 Peter 1
12-Dec,Job 14,Habakkuk 1,1 Peter 2
13-Dec,Job 15,Habakkuk 2,1 Peter 3&5
14-Dec,Job 16&17,Habakkuk 3,2 Peter 1&2
15-Dec,Job 18&19,Zephaniah 1,2 Peter 3
16-Dec,Job 20,Zephaniah 2,1 John 1&2
17-Dec,Job 21,Zephaniah 3,1 John 3&4
18-Dec,Job 22,Haggai,1 John 5
19-Dec,Job 23&24,Zechariah 1,2&3 John
20-Dec,Job 25&27,Zechariah 2&3,Jude
21-Dec,Job 28,Zechariah 4&5,Revelation 1&2
22-Dec,Job 29&30,Zechariah 6&7,Revelation 3&4
23-Dec,Job 31&32,Zechariah 8,Revelation 5&6
24-Dec,Job 33,Zechariah 9,Revelation 7&9
25-Dec,Job 34,Zechariah 10,Revelation 10&11
26-Dec,Job 35&36,Zechariah 11,Revelation 12&13
27-Dec,Job 37,Zechariah 12,Revelation 14
28-Dec,Job 38,Zechariah 13&14,Revelation 15&16
29-Dec,Job 39,Malachi 1,Revelation 17&18
30-Dec,Job 40,Malachi 2,Revelation 19&20
31-Dec,Job 41&42,Malachi 3,Revelation 21&22